Indikator,Kategorie,STEEP-Kategorie,Certainty,Impact,Prognose Group,Zeit
Population,Treiber,Social,5.0,3.0,10 - 15,15.320818503521483
Migration von Fachkräften,Treiber,Political,4.0,4.0,10 - 15,16.552120652508975
Education & Labor ,Treiber,Economical,4.84896045985252,1.0,10 - 15,13.238204469242422
Veränderung von Wertevorstellungen ,Treiber,Social,3.827871939729382,2.0,10 - 15,12.203087880447677
Veränderung von geopolitischen Strukturen ,Treiber,Political,3.0,3.115864114228379,10 - 15,15.996198926125551
Future Of Democracy ,Treiber,Political,2.712253131189851,3.053871895803448,10 - 15,15.612777649414188
Climate Change & Pollution ,Treiber,Environmental,4.725158588832659,5.0,5 - 10,10.933108643296693
Biodiversity declining,Treiber,Environmental,5.029742288563411,2.042228756666189,0 - 5,5.8055829465585855
Resources & Raw Materials ,Treiber,Social,4.750936652211437,3.014373806588329,10 - 15,15.168745577406913
Global Trade & Value Chains ,Treiber,Political,3.005778475218154,5.077540818908892,10 - 15,14.556918028772294
Power Shifts ,Treiber,Political,2.0,4.904609758325144,10 - 15,14.28959315579623
Energy Transformation ,Treiber,Technological,3.780913108802634,4.925861931692449,10 - 15,14.731635121976694
Debt Challenge ,Treiber,Political,3.12787463929081,2.91469059440071,10 - 15,15.720722419210196
Innovationsdruck,Treiber,Technological,3.850616908885255,3.915672888107722,5 - 10,8.532618344031402
Frontier Technologies ,Treiber,Technological,4.177180202345173,4.787377460925054,5 - 10,9.43755473707575
Humans & Machines ,Treiber,Social,2.063886312539009,3.917748802758073,10 - 15,12.548974263515897
Healthcare of the Future ,Treiber,Political,2.951662685554847,3.05451118802436,5 - 10,7.700988056589942
Caregiving ,Treiber,Political,3.724768053111587,2.015509498786546,5 - 10,7.541260267012221
3D Printing in Supply Chains,Signal,Technological,3.992777755870354,2.153336091303039,10 - 15,15.219887437991751
Negative impacts from human-caused climate change,Signal,Environmental,2.816251585663604,4.936563037271737,5 - 10,8.913657359136218
Breaking up Tech Giants,Schwaches Signal,Political,1.0,2.730940120171494,10 - 15,13.507988767156961
Remote-Arbeit ,Trend,Economical,2.967898179222304,2.242696913191741,0 - 5,2.4957336831581145
Urbanisierung,Treiber,Economical,4.210029657340753,2.178770504784249,5 - 10,10.677358589226548
Post-Wachstums-Regionen,Signal,Social,3.292796835655845,4.151279056437194,5 - 10,9.86453452314965
Mental Health,Trend,Social,3.943976344803649,4.238827720172979,0 - 5,4.355823912294322
Gen Z Aktivismus (Klima)	,Signal,Environmental,3.071898184933618,3.186319590595727,0 - 5,6.461744246611559
Lebenslanges Lernen,Trend,Economical,5.183920303652286,1.912278553858379,0 - 5,6.957439979958965
